name,go,ec,ST01,ST02,ST03,ST04,ST05,ST06,ST07,ST08,ST09,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30,St. agalactiae 2603V R,St. agalactiae A909,St. agalactiae NEM316,St. macedonicus ACA-DC 198,St. mutans GS-5 ID CP0036861,St. mutans NN2025,St. mutans UA159,St. pneumoniae Hungary19A-6,St. pneumoniae TCH8431 19A,St. pneumoniae TIGR4,St. thermophilus CNRZ1066,St. thermophilus JIM 8232,St. thermophilus LMD-9,St. thermophilus LMG 18311,St. thermophilus MN-ZLW-002,St. thermophilus ND03
atp-dependent clp atp-binding subunit,GO:0017111; GO:0005524; GO:0006508; GO:0008233,EC:3.6.1.15,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
transposase family protein,GO:0006313; GO:0004803; GO:0003677; GO:0015074,,1,3,1,2,2,1,2,1,4,4,3,4,3,2,1,3,2,1,0,2,2,1,2,2,3,1,2,2,2,1,2,2,0,6,0,2,5,5,3,5,5,5,6,4,4,6
transposase,GO:0006313; GO:0004803; GO:0003677,,2,2,2,2,2,2,2,2,1,3,2,4,3,2,2,2,2,2,1,2,1,2,2,2,1,1,1,3,1,1,0,0,0,9,0,0,0,6,1,8,2,5,7,2,6,6
oligopeptide-binding protein sara,GO:0005215; GO:0006810,,3,2,2,3,3,2,3,2,1,2,3,2,2,3,3,3,3,3,2,4,2,3,2,1,1,3,3,2,2,1,0,0,0,0,0,0,0,3,3,3,4,2,2,3,3,3
dna a subunit,GO:0006261; GO:0003677; GO:0005524; GO:0003918; GO:0005694; GO:0006265; GO:0005737,EC:5.99.1.3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
dna gyrase subunit b,GO:0006261; GO:0003677; GO:0005524; GO:0003918; GO:0000287; GO:0005694; GO:0006265; GO:0005737,EC:5.99.1.3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
transposase,GO:0006313; GO:0004803; GO:0003677; GO:0015074,,2,2,2,2,0,2,1,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,3,1,1,2,1,2,1,2,2,2,0,6,1,1,6,5,5,2,1,2,2,1,2,2
phospho-2-dehydro-3-deoxyheptonate aldolase,GO:0009423; GO:0003849; GO:0000162; GO:0006571; GO:0009094,EC:2.5.1.54,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2
6-phospho-beta-glucosidase,GO:0008706; GO:0006094; GO:0006096,EC:3.2.1.86,2,1,2,1,2,2,2,2,1,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,5,3,3,3,2,2,3,2,1,1,2,2,2
transposase,GO:0006313; GO:0004803; GO:0003677,,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,0,1,1,2,1,1,1,2,2,1,1,1,1,1,0,0,4,0,0,0,0,0,0,6,8,5,6,9,3
